,BlockCode,MaxAdDown,tract
427562,90010113001029,15.0,9001011300
427563,90010113001031,15.0,9001011300
427564,90010113001032,15.0,9001011300
427565,90010113001033,15.0,9001011300
427566,90010113001034,15.0,9001011300
427580,90010113001050,15.0,9001011300
427581,90010113001051,15.0,9001011300
30123,90010203002006,15.0,9001020300
30126,90010203002009,15.0,9001020300
30128,90010203002011,15.0,9001020300
30173,90010203003016,15.0,9001020300
51167,90010444001001,15.0,9001044400
51168,90010444001002,15.0,9001044400
51169,90010444001003,15.0,9001044400
51170,90010444001004,15.0,9001044400
51171,90010444001005,15.0,9001044400
51177,90010444001013,15.0,9001044400
51178,90010444001015,15.0,9001044400
51179,90010444001016,15.0,9001044400
51188,90010444001027,15.0,9001044400
51203,90010444001043,15.0,9001044400
56939,90010504002046,15.0,9001050400
56941,90010504002048,15.0,9001050400
56942,90010504002049,15.0,9001050400
73484,90010729001000,15.0,9001072900
73485,90010729001001,15.0,9001072900
73486,90010729001002,15.0,9001072900
73487,90010729001003,15.0,9001072900
73488,90010729001004,15.0,9001072900
73489,90010729001005,15.0,9001072900
73865,90010730001014,15.0,9001073000
73866,90010730001015,15.0,9001073000
77468,90010744003024,15.0,9001074400
77469,90010744003026,15.0,9001074400
77470,90010744003027,15.0,9001074400
77471,90010744003028,15.0,9001074400
77472,90010744003029,15.0,9001074400
77473,90010744003030,15.0,9001074400
77474,90010744003031,15.0,9001074400
79522,90010805001033,15.0,9001080500
79523,90010805001034,15.0,9001080500
82521,90010811003003,15.0,9001081100
83626,90010813001010,15.0,9001081300
83721,90010813001011,15.0,9001081300
86412,90010904004021,15.0,9001090400
86413,90010904004022,15.0,9001090400
86414,90010904004023,15.0,9001090400
86415,90010904004027,15.0,9001090400
87285,90010905002044,15.0,9001090500
87286,90010905002045,15.0,9001090500
90405,90011003003000,0.0,9001100300
92351,90011101001000,0.0,9001110100
92356,90011101001006,15.0,9001110100
92357,90011101001007,15.0,9001110100
92366,90011101001016,15.0,9001110100
92367,90011101001017,15.0,9001110100
92368,90011101001018,15.0,9001110100
92280,90011101001019,18.0,9001110100
92370,90011101001020,0.0,9001110100
92371,90011101001021,0.0,9001110100
92338,90011101001023,15.0,9001110100
92341,90011101001029,15.0,9001110100
92342,90011101001030,15.0,9001110100
92343,90011101001031,15.0,9001110100
92388,90011101001038,15.0,9001110100
92777,90011102011000,0.0,9001110201
92865,90011102011008,15.0,9001110201
92789,90011102011022,15.0,9001110201
93161,90011102021001,15.0,9001110202
93162,90011102021002,15.0,9001110202
93163,90011102021003,15.0,9001110202
93273,90011102021009,15.0,9001110202
93171,90011102021013,15.0,9001110202
93178,90011102021021,15.0,9001110202
93287,90011102022002,15.0,9001110202
93288,90011102022003,15.0,9001110202
93189,90011102023003,15.0,9001110202
93192,90011102023015,15.0,9001110202
93147,90011102023018,15.0,9001110202
93196,90011102023020,15.0,9001110202
93325,90011102023022,15.0,9001110202
93629,90011103011010,15.0,9001110301
93632,90011103012002,15.0,9001110301
93727,90011103012003,15.0,9001110301
93729,90011103012005,15.0,9001110301
93730,90011103012006,15.0,9001110301
93738,90011103013005,15.0,9001110301
93611,90011103013013,15.0,9001110301
93648,90011103013014,15.0,9001110301
93753,90011103013020,15.0,9001110301
93755,90011103013022,15.0,9001110301
93758,90011103013025,15.0,9001110301
93588,90011103014001,18.0,9001110301
93766,90011103014003,15.0,9001110301
93767,90011103014004,15.0,9001110301
93772,90011103014009,15.0,9001110301
93773,90011103014010,15.0,9001110301
93617,90011103014015,15.0,9001110301
93779,90011103014016,15.0,9001110301
94069,90011103021002,15.0,9001110302
94075,90011103021008,0.0,9001110302
94186,90011103021011,15.0,9001110302
94190,90011103021015,15.0,9001110302
94201,90011103022003,15.0,9001110302
94021,90011103022005,18.0,9001110302
94084,90011103022007,15.0,9001110302
94091,90011103022015,15.0,9001110302
94059,90011103022026,15.0,9001110302
94584,90011104001003,15.0,9001110400
94491,90011104001008,15.0,9001110400
94608,90011104002002,15.0,9001110400
94452,90011104003002,18.0,9001110400
94635,90011104003004,15.0,9001110400
94638,90011104003007,15.0,9001110400
94506,90011104003009,15.0,9001110400
94648,90011104003018,15.0,9001110400
95026,90011105001003,15.0,9001110500
95132,90011105001004,15.0,9001110500
95139,90011105001011,15.0,9001110500
95143,90011105001015,15.0,9001110500
95159,90011105002013,15.0,9001110500
95164,90011105002018,15.0,9001110500
95042,90011105002025,15.0,9001110500
95093,90011105003001,15.0,9001110500
95190,90011105003015,15.0,9001110500
95204,90011105004008,15.0,9001110500
95624,90011106001015,15.0,9001110600
95625,90011106001016,0.0,9001110600
95626,90011106002000,0.0,9001110600
95745,90011106002001,15.0,9001110600
95746,90011106002002,15.0,9001110600
95747,90011106002003,15.0,9001110600
95748,90011106002004,15.0,9001110600
95749,90011106002005,15.0,9001110600
95750,90011106002006,15.0,9001110600
95755,90011106002011,15.0,9001110600
95634,90011106002022,15.0,9001110600
95767,90011106002023,15.0,9001110600
95774,90011106003006,15.0,9001110600
95777,90011106003009,15.0,9001110600
95781,90011106003013,15.0,9001110600
95645,90011106004000,0.0,9001110600
95646,90011106004001,15.0,9001110600
95797,90011106004002,15.0,9001110600
95815,90011106004020,15.0,9001110600
96212,90012001001002,15.0,9001200100
96301,90012001001003,15.0,9001200100
96302,90012001001004,15.0,9001200100
96125,90012001001008,18.0,9001200100
96307,90012001001009,15.0,9001200100
96323,90012001001025,15.0,9001200100
96324,90012001001026,15.0,9001200100
96325,90012001001027,15.0,9001200100
96326,90012001001028,15.0,9001200100
96328,90012001001030,15.0,9001200100
96340,90012001002006,15.0,9001200100
96196,90012001002014,15.0,9001200100
96198,90012001002016,18.0,9001200100
96677,90012002001003,15.0,9001200200
96535,90012002001004,15.0,9001200200
96679,90012002001005,15.0,9001200200
96681,90012002001007,15.0,9001200200
96604,90012002002000,15.0,9001200200
96692,90012002002003,15.0,9001200200
96694,90012002002005,15.0,9001200200
96610,90012002002008,15.0,9001200200
96701,90012002002012,15.0,9001200200
96702,90012002002013,15.0,9001200200
96619,90012002003006,15.0,9001200200
96621,90012002003008,15.0,9001200200
96713,90012002003010,15.0,9001200200
96625,90012002004002,15.0,9001200200
96626,90012002004003,15.0,9001200200
96627,90012002004004,15.0,9001200200
96628,90012002004006,15.0,9001200200
96630,90012002004008,15.0,9001200200
96635,90012002004014,15.0,9001200200
96636,90012002004015,15.0,9001200200
97039,90012003011005,15.0,9001200301
97043,90012003011009,15.0,9001200301
97045,90012003011011,15.0,9001200301
97182,90012003012004,15.0,9001200301
97183,90012003012005,15.0,9001200301
97193,90012003012015,15.0,9001200301
97194,90012003012016,15.0,9001200301
97197,90012003012019,15.0,9001200301
97205,90012003012027,15.0,9001200301
96981,90012003013000,15.0,9001200301
97056,90012003013001,15.0,9001200301
97211,90012003013004,15.0,9001200301
97060,90012003013008,15.0,9001200301
97027,90012003013011,15.0,9001200301
97065,90012003013013,15.0,9001200301
97029,90012003013014,15.0,9001200301
97679,90012003021012,15.0,9001200302
97506,90012003022009,15.0,9001200302
97696,90012003023007,15.0,9001200302
97700,90012003023011,15.0,9001200302
97704,90012003023015,15.0,9001200302
97574,90012003023017,15.0,9001200302
97709,90012003023020,15.0,9001200302
97712,90012003023023,15.0,9001200302
97714,90012003024001,15.0,9001200302
97716,90012003024003,15.0,9001200302
97718,90012003024005,15.0,9001200302
97719,90012003024006,15.0,9001200302
97720,90012003024007,15.0,9001200302
97580,90012003024009,15.0,9001200302
16145,90012053002021,15.0,9001205300
16159,90012053002035,15.0,9001205300
16160,90012053002036,15.0,9001205300
99139,90012101001001,15.0,9001210100
99155,90012101001017,15.0,9001210100
99160,90012101001022,15.0,9001210100
99161,90012101001023,15.0,9001210100
99162,90012101001024,15.0,9001210100
99163,90012101001025,15.0,9001210100
99086,90012101002001,18.0,9001210100
99089,90012101002003,18.0,9001210100
99105,90012101002010,18.0,9001210100
99175,90012101002011,15.0,9001210100
99217,90012101002012,15.0,9001210100
99180,90012101003004,15.0,9001210100
99183,90012101003007,15.0,9001210100
99122,90012101003008,18.0,9001210100
99591,90012102001009,15.0,9001210200
99592,90012102001010,15.0,9001210200
99594,90012102001012,15.0,9001210200
99595,90012102001013,15.0,9001210200
99617,90012102003000,15.0,9001210200
99740,90012102003021,15.0,9001210200
16658,90012103001003,15.0,9001210300
16659,90012103001004,15.0,9001210300
16562,90012103001016,15.0,9001210300
16677,90012103002001,15.0,9001210300
16573,90012103002008,15.0,9001210300
16511,90012103002011,15.0,9001210300
100048,90012104001001,15.0,9001210400
100253,90012104001003,15.0,9001210400
100256,90012104001006,15.0,9001210400
99924,90012104001007,18.0,9001210400
100084,90012104001015,15.0,9001210400
100266,90012104001016,15.0,9001210400
100268,90012104001018,15.0,9001210400
100087,90012104001020,15.0,9001210400
100271,90012104001021,15.0,9001210400
100273,90012104001023,15.0,9001210400
100274,90012104001024,15.0,9001210400
100278,90012104001028,15.0,9001210400
100089,90012104001029,15.0,9001210400
100280,90012104001030,15.0,9001210400
100096,90012104002006,15.0,9001210400
99967,90012104002007,18.0,9001210400
100104,90012104002014,15.0,9001210400
100060,90012104003000,15.0,9001210400
100061,90012104003001,15.0,9001210400
100112,90012104003002,15.0,9001210400
100074,90012104003003,15.0,9001210400
100309,90012104003004,15.0,9001210400
100187,90012104003005,15.0,9001210400
100115,90012104003007,15.0,9001210400
99987,90012104003008,18.0,9001210400
100118,90012104003010,15.0,9001210400
99996,90012104003014,15.0,9001210400
100124,90012104003016,15.0,9001210400
100066,90012104003018,15.0,9001210400
100070,90012104003022,15.0,9001210400
100336,90012104003031,15.0,9001210400
100337,90012104003032,15.0,9001210400
100338,90012104003033,15.0,9001210400
100339,90012104003034,15.0,9001210400
100139,90012104004001,15.0,9001210400
100140,90012104004002,15.0,9001210400
100353,90012104004013,15.0,9001210400
100356,90012104004016,15.0,9001210400
17240,90012105001005,15.0,9001210500
17244,90012105001009,15.0,9001210500
17251,90012105001016,15.0,9001210500
17256,90012105001021,15.0,9001210500
17208,90012105002002,0.0,9001210500
16882,90012105002003,15.0,9001210500
17028,90012105002011,15.0,9001210500
17033,90012105002020,15.0,9001210500
17284,90012105002027,15.0,9001210500
17038,90012105002029,15.0,9001210500
17040,90012105002035,15.0,9001210500
17041,90012105002036,15.0,9001210500
17043,90012105003000,15.0,9001210500
17045,90012105003002,15.0,9001210500
17300,90012105003003,15.0,9001210500
17301,90012105003004,15.0,9001210500
17302,90012105003005,15.0,9001210500
17046,90012105003006,15.0,9001210500
17047,90012105003007,15.0,9001210500
17048,90012105003008,15.0,9001210500
17308,90012105003011,15.0,9001210500
17051,90012105003012,15.0,9001210500
17310,90012105003013,15.0,9001210500
17053,90012105003016,0.0,9001210500
17054,90012105003018,15.0,9001210500
17058,90012105003026,0.0,9001210500
17005,90012105003028,15.0,9001210500
17324,90012105003029,15.0,9001210500
17006,90012105003030,15.0,9001210500
17328,90012105003033,15.0,9001210500
17062,90012105003035,15.0,9001210500
17333,90012105003038,15.0,9001210500
17338,90012105003044,15.0,9001210500
17010,90012105003045,15.0,9001210500
17340,90012105003046,15.0,9001210500
17067,90012105003052,15.0,9001210500
17209,90012105003053,15.0,9001210500
17070,90012105003057,15.0,9001210500
17071,90012105003058,15.0,9001210500
17012,90012105003060,15.0,9001210500
17074,90012105003061,15.0,9001210500
17212,90012105004004,15.0,9001210500
17079,90012105004008,15.0,9001210500
17080,90012105004011,15.0,9001210500
17082,90012105004013,15.0,9001210500
17375,90012105004015,15.0,9001210500
17377,90012105004017,15.0,9001210500
17378,90012105004018,15.0,9001210500
100764,90012106001007,15.0,9001210600
100766,90012106001009,15.0,9001210600
100767,90012106001010,15.0,9001210600
100768,90012106001011,15.0,9001210600
100730,90012106004002,18.0,9001210600
100793,90012106005001,15.0,9001210600
100799,90012106005007,15.0,9001210600
101391,90012107021016,15.0,9001210702
101394,90012107022004,15.0,9001210702
101395,90012107022005,15.0,9001210702
101484,90012107022006,15.0,9001210702
101405,90012107022016,15.0,9001210702
101407,90012107022018,15.0,9001210702
101408,90012107022019,15.0,9001210702
101409,90012107022020,15.0,9001210702
101826,90012108001001,15.0,9001210800
101829,90012108001004,15.0,9001210800
101830,90012108001005,15.0,9001210800
101831,90012108001006,15.0,9001210800
101833,90012108001008,15.0,9001210800
101835,90012108001010,15.0,9001210800
101731,90012108001017,15.0,9001210800
101733,90012108001019,15.0,9001210800
101734,90012108001020,15.0,9001210800
101850,90012108001025,15.0,9001210800
101864,90012108003005,15.0,9001210800
101746,90012108003007,15.0,9001210800
101747,90012108003008,15.0,9001210800
101751,90012108003014,0.0,9001210800
101721,90012108003019,15.0,9001210800
101879,90012108003021,15.0,9001210800
101757,90012108003022,15.0,9001210800
101760,90012108003026,15.0,9001210800
101725,90012108003029,15.0,9001210800
101726,90012108003030,15.0,9001210800
101727,90012108003031,15.0,9001210800
101728,90012108003033,15.0,9001210800
101729,90012108003034,15.0,9001210800
101765,90012108003036,15.0,9001210800
101766,90012108003037,15.0,9001210800
101767,90012108003038,15.0,9001210800
102306,90012109001002,15.0,9001210900
102208,90012109001004,15.0,9001210900
102315,90012109001011,15.0,9001210900
102316,90012109001012,15.0,9001210900
102327,90012109002008,15.0,9001210900
102339,90012109003002,15.0,9001210900
102340,90012109003003,15.0,9001210900
102343,90012109003006,15.0,9001210900
102239,90012109003010,15.0,9001210900
102240,90012109003011,15.0,9001210900
102359,90012109004007,15.0,9001210900
102360,90012109004008,15.0,9001210900
102363,90012109004011,15.0,9001210900
102247,90012109004014,15.0,9001210900
102249,90012109004017,0.0,9001210900
102252,90012109004020,0.0,9001210900
102656,90012110001001,0.0,9001211000
102740,90012110001012,15.0,9001211000
102744,90012110001016,15.0,9001211000
102660,90012110001018,15.0,9001211000
102664,90012110002003,15.0,9001211000
102754,90012110002009,15.0,9001211000
102669,90012110002010,15.0,9001211000
102670,90012110002011,15.0,9001211000
102683,90012110003012,15.0,9001211000
102687,90012110003016,15.0,9001211000
102923,90012111001000,15.0,9001211100
102929,90012111001002,15.0,9001211100
102931,90012111001004,15.0,9001211100
103092,90012112001002,15.0,9001211200
103093,90012112001003,15.0,9001211200
103100,90012112001010,15.0,9001211200
103102,90012112001012,15.0,9001211200
103031,90012112001017,15.0,9001211200
103116,90012112002006,15.0,9001211200
102989,90012112002008,15.0,9001211200
102993,90012112002011,18.0,9001211200
103126,90012112003003,15.0,9001211200
103129,90012112003006,15.0,9001211200
103138,90012112003015,15.0,9001211200
103409,90012113001003,15.0,9001211300
103417,90012113001011,15.0,9001211300
103419,90012113001014,15.0,9001211300
103434,90012113002009,15.0,9001211300
103442,90012113003007,15.0,9001211300
103443,90012113003008,15.0,9001211300
103446,90012113003011,15.0,9001211300
103362,90012113003018,15.0,9001211300
103363,90012113003019,15.0,9001211300
103771,90012114001001,15.0,9001211400
103774,90012114001004,15.0,9001211400
103775,90012114001005,15.0,9001211400
103681,90012114001007,15.0,9001211400
103778,90012114001008,15.0,9001211400
103682,90012114001009,15.0,9001211400
103781,90012114001011,15.0,9001211400
103784,90012114001014,15.0,9001211400
103790,90012114001020,15.0,9001211400
103791,90012114001021,15.0,9001211400
103795,90012114002004,15.0,9001211400
103690,90012114003000,15.0,9001211400
